species,genus,species_1,family,order,C,S,R,CSR
Psychotria horizontalis,Psychotria,horizontalis,Rubiaceae,Gentianales,43.14,39.92,16.94,CS/CSR
Psychotria marginata,Psychotria,marginata,Rubiaceae,Gentianales,50.8,32.94,16.26,C/CSR
Psychotria cyanococca,Psychotria,cyanococca,Rubiaceae,Gentianales,29.02,36.86,34.12,CSR
Psychotria racemosa,Psychotria,racemosa,Rubiaceae,Gentianales,47.2,22.99,29.81,C/CSR
Psychotria tenuifolia,Psychotria,tenuifolia,Rubiaceae,Gentianales,52.22,33.01,14.76,C/CSR
Pyrola elliptica,Pyrola,elliptica,Ericaceae,Ericales,10.67,76.33,13,S/SR
Pyrola minor,Pyrola,minor,Ericaceae,Ericales,13.21,51.64,35.15,SR/CSR
Pyrola rotundifolia,Pyrola,rotundifolia,Ericaceae,Ericales,33.42,37.02,29.56,CSR
Quercus coccifera,Quercus,coccifera,Fagaceae,Fagales,9.38,90.62,0,S
Quercus gambelii,Quercus,gambelii,Fagaceae,Fagales,33.08,60.99,5.93,S/CS
Rhamnus lycioides,Rhamnus,lycioides,Rhamnaceae,Rosales,0.89,61.99,37.11,SR
Rhamnus saxatilis,Rhamnus,saxatilis,Rhamnaceae,Rosales,7.35,85.62,7.03,S
Rhododendron caucasicum,Rhododendron,caucasicum,Ericaceae,Ericales,40.2,59.8,0,CS
Rhododendron ferrugineum,Rhododendron,ferrugineum,Ericaceae,Ericales,9.3,90.7,0,S
Rhododendron hirsutum,Rhododendron,hirsutum,Ericaceae,Ericales,5.63,84.99,9.38,S
Rhodothamnus chamaecistus,Rhodothamnus,chamaecistus,Ericaceae,Ericales,0.25,99.75,0,S
Richterago polyphylla,Richterago,polyphylla,Asteraceae,Asterales,10.94,89.06,0,S
Rinorea sylvatica,Rinorea,sylvatica,Violaceae,Malpighiales,34.87,42.75,22.38,CS/CSR
Rosa elliptica,Rosa,elliptica,Rosaceae,Rosales,23.11,69.4,7.48,S/CS
Rosa jundzillii,Rosa,jundzillii,Rosaceae,Rosales,24.56,52.25,23.19,S/CSR
Rosa pendulina,Rosa,pendulina,Rosaceae,Rosales,29.57,45.58,24.85,S/CSR
Rourea glabra,Rourea,glabra,Connaraceae,Oxalidales,57.42,33.87,8.71,CS
Rubus bushii,Rubus,bushii,Rosaceae,Rosales,13.64,66.9,19.45,S/SR
Rubus chamaemorus,Rubus,chamaemorus,Rosaceae,Rosales,36.86,44.01,19.13,CS/CSR
Rubus corylifolius,Rubus,corylifolius,Rosaceae,Rosales,53.97,28.51,17.52,C/CSR
Rubus fruticosus,Rubus,fruticosus,Rosaceae,Rosales,21.75,65.35,12.9,S/CS
Salix appendiculata,Salix,appendiculata,Salicaceae,Malpighiales,26.16,52.66,21.18,S/CSR
Salix glauca,Salix,glauca,Salicaceae,Malpighiales,18.29,74.88,6.83,S/CS
Salix helvetica,Salix,helvetica,Salicaceae,Malpighiales,18.11,42.68,39.2,SR/CSR
Salix herbacea,Salix,herbacea,Salicaceae,Malpighiales,4.58,74.89,20.52,S/SR
Salix lanata,Salix,lanata,Salicaceae,Malpighiales,31.55,68.45,0,S/CS
Salix lapponum,Salix,lapponum,Salicaceae,Malpighiales,16.15,79.04,4.81,S/CS
Salix myrsinites,Salix,myrsinites,Salicaceae,Malpighiales,15.87,84.13,0,S
Salix reticulata,Salix,reticulata,Salicaceae,Malpighiales,10.54,89.46,0,S
Salix retusa,Salix,retusa,Salicaceae,Malpighiales,1.25,72.53,26.22,S/SR
Salix rosmarinifolia,Salix,rosmarinifolia,Salicaceae,Malpighiales,9.75,73.42,16.83,S/SR
Salix starkeana,Salix,starkeana,Salicaceae,Malpighiales,11.2,76.98,11.82,S/SR
Salzmannia nitida,Salzmannia,nitida,Rubiaceae,Gentianales,23.81,76.19,0,S/CS
Microstachys ditassoides,Microstachys,ditassoides,Euphorbiaceae,Malpighiales,0.11,99.89,0,S
Senna aphylla,Senna,aphylla,Fabaceae,Fabales,11.02,88.98,0,S
Senna dariensis,Senna,dariensis,Fabaceae,Fabales,64.52,21.54,13.94,C/CS
Solanum asperum,Solanum,asperum,Solanaceae,Solanales,36.45,28.37,35.18,CSR
Solanum circinatum,Solanum,circinatum,Solanaceae,Solanales,68.13,11.62,20.24,C/CR
Solanum paludosum,Solanum,paludosum,Solanaceae,Solanales,39.75,57.32,2.93,CS
Solanum paniculatum,Solanum,paniculatum,Solanaceae,Solanales,57.14,36.84,6.02,CS
Solanum steyermarkii,Solanum,steyermarkii,Solanaceae,Solanales,45.12,24.33,30.55,C/CSR
Solidago velutina,Solidago,velutina,Asteraceae,Asterales,16.56,71.01,12.43,S/CS
Sorocea affinis,Sorocea,affinis,Moraceae,Rosales,31.29,46.36,22.35,S/CSR
Spigelia aceifolia,Spigelia,aceifolia,Loganiaceae,Gentianales,0,100,0,S
Spiraea alba,Spiraea,alba,Rosaceae,Rosales,31.32,58.16,10.52,S/CSR
Stylogyne turbacensis,Stylogyne,turbacensis,Primulaceae,Ericales,63.03,36.97,0,C/CS
Tephrosia virginiana,Tephrosia,virginiana,Fabaceae,Fabales,55.56,26.58,17.86,C/CSR
Tetrapterys microphylla,Tetrapterys,microphylla,Malpighiaceae,Malpighiales,10.02,89.98,0,S
Teucrium capitatum,Teucrium,capitatum,Lamiaceae,Lamiales,6.65,79.96,13.38,S/SR
Teucrium polium,Teucrium,polium,Lamiaceae,Lamiales,0,72.13,27.87,S/SR
Thymus glabrescens,Thymus,glabrescens,Lamiaceae,Lamiales,0.27,74.31,25.42,S/SR
Thymus nummularius,Thymus,nummularius,Lamiaceae,Lamiales,4.66,55.87,39.47,SR
Tocoyena formosa,Tocoyena,formosa,Rubiaceae,Gentianales,60.21,34.06,5.73,C/CS
Apocynum venetum,Apocynum,venetum,Apocynaceae,Gentianales,13.81,66.01,20.18,S/SR
Tragia impedita,Tragia,impedita,Euphorbiaceae,Malpighiales,25.72,41.38,32.9,CSR
Trema micrantha,Trema,micrantha,Cannabaceae,Rosales,41.64,38.64,19.72,CS/CSR
Trophis racemosa,Trophis,racemosa,Moraceae,Rosales,42.57,42.6,14.84,CS/CSR
Ulex gallii,Ulex,gallii,Fabaceae,Fabales,0.54,99.46,0,S
Vaccinium angustifolium,Vaccinium,angustifolium,Ericaceae,Ericales,11.35,40.61,48.05,SR/CSR
Vaccinium myrtillus,Vaccinium,myrtillus,Ericaceae,Ericales,13.15,43.56,43.29,SR/CSR
Vaccinium oxycoccos,Vaccinium,oxycoccos,Ericaceae,Ericales,0,95.18,4.82,S
Vaccinium uliginosum,Vaccinium,uliginosum,Ericaceae,Ericales,10.72,63.58,25.7,S/SR
Vochysia pygmaea,Vochysia,pygmaea,Vochysiaceae,Myrtales,18.56,81.44,0,S/CS
Xylosma oligandra,Xylosma,oligandra,Salicaceae,Malpighiales,43.67,32,24.33,CS/CSR
Alnus incana,Alnus,incana,Betulaceae,Fagales,40.12,35.3,24.58,CS/CSR
Amelanchier lamarckii,Amelanchier,lamarckii,Rosaceae,Rosales,26.41,67.03,6.56,S/CS
Amorpha fruticosa,Amorpha,fruticosa,Fabaceae,Fabales,40.38,39.09,20.53,CS/CSR
Amphilophium paniculatum,Amphilophium,paniculatum,Bignoniaceae,Lamiales,53.22,28.52,18.26,C/CSR
Aphelandra sinclairiana,Aphelandra,sinclairiana,Acanthaceae,Lamiales,60.63,12.45,26.92,C/CSR
Armeria maritima,Armeria,maritima,Plumbaginaceae,Caryophyllales,15.61,29.94,54.46,R/CSR
Artemisia absinthium,Artemisia,absinthium,Asteraceae,Asterales,32.35,23.48,44.17,CR/CSR
Artemisia dracunculus,Artemisia,dracunculus,Asteraceae,Asterales,10.63,46.86,42.5,SR
Artemisia ludoviciana,Artemisia,ludoviciana,Asteraceae,Asterales,12.54,65.09,22.37,S/SR
Atriplex halimus,Atriplex,halimus,Amaranthaceae,Caryophyllales,26.04,0,73.96,R/CR
Atriplex littoralis,Atriplex,littoralis,Amaranthaceae,Caryophyllales,56.31,0,43.69,CR
Atropa belladonna,Atropa,belladonna,Solanaceae,Solanales,63.58,6.96,29.46,C/CR
Calluna vulgaris,Calluna,vulgaris,Ericaceae,Ericales,0,91.99,8.01,S
Cedrela odorata,Cedrela,odorata,Meliaceae,Sapindales,68.65,16.82,14.53,C/CS
Ceiba pentandra,Ceiba,pentandra,Malvaceae,Malvales,43.77,47.34,8.89,CS
Centranthus ruber,Centranthus,ruber,Caprifoliaceae,Dipsacales,55.61,0,44.39,CR
Cercis canadensis,Cercis,canadensis,Fabaceae,Fabales,12.49,71.98,15.53,S/SR
Cistus ladanifer,Cistus,ladanifer,Cistaceae,Malvales,9.17,90.83,0,S
Cistus laurifolius,Cistus,laurifolius,Cistaceae,Malvales,11.89,62.64,25.47,S/SR
Coffea arabica,Coffea,arabica,Rubiaceae,Gentianales,18.28,60.53,21.19,S/CSR
Colutea arborescens,Colutea,arborescens,Fabaceae,Fabales,33.72,42.56,23.72,CS/CSR
Cotoneaster horizontalis,Cotoneaster,horizontalis,Rosaceae,Rosales,1.66,92.67,5.67,S
Cotoneaster integerrimus,Cotoneaster,integerrimus,Rosaceae,Rosales,16.95,68.17,14.88,S/CS
Crotalaria sagittalis,Crotalaria,sagittalis,Fabaceae,Fabales,6.11,85.29,8.61,S
Cytisus hirsutus,Cytisus,hirsutus,Fabaceae,Fabales,27.91,10.11,61.98,R/CR
Cytisus scoparius,Cytisus,scoparius,Fabaceae,Fabales,0,84.5,15.5,S
Dalea candida,Dalea,candida,Fabaceae,Fabales,15.42,79.79,4.79,S/CS
Desmanthus illinoensis,Desmanthus,illinoensis,Fabaceae,Fabales,8.63,72.35,19.02,S/SR
Dittrichia viscosa,Dittrichia,viscosa,Asteraceae,Asterales,45.38,0,54.62,CR
Erica arborea,Erica,arborea,Ericaceae,Ericales,0,75.78,24.22,S/SR
Erica cinerea,Erica,cinerea,Ericaceae,Ericales,0,93.91,6.09,S
Erica tetralix,Erica,tetralix,Ericaceae,Ericales,0,100,0,S
Euphorbia characias,Euphorbia,characias,Euphorbiaceae,Malpighiales,26.03,68.63,5.34,S/CS
Galega officinalis,Galega,officinalis,Fabaceae,Fabales,58.04,0,41.96,CR
Genista tinctoria,Genista,tinctoria,Fabaceae,Fabales,7.49,54.6,37.91,SR
Hebe franciscana,Hebe,franciscana,Plantaginaceae,Lamiales,15.07,76.75,8.17,S/CS
Helichrysum stoechas,Helichrysum,stoechas,Asteraceae,Asterales,0,76.43,23.57,S/SR
Heliomeris multiflora,Heliomeris,multiflora,Asteraceae,Asterales,18.49,44.93,36.58,SR/CSR
Heterotheca villosa,Heterotheca,villosa,Asteraceae,Asterales,10.85,61.5,27.65,S/SR
Hibiscus syriacus,Hibiscus,syriacus,Malvaceae,Malvales,34.22,44.41,21.37,CS/CSR
Hyssopus officinalis,Hyssopus,officinalis,Lamiaceae,Lamiales,13.31,29.08,57.62,R/CSR
Iberis sempervirens,Iberis,sempervirens,Brassicaceae,Brassicales,24.74,66.07,9.19,S/CS
Indigofera arrecta,Indigofera,arrecta,Fabaceae,Fabales,28.7,37.98,33.32,CSR
Juniperus communis,Juniperus,communis,Cupressaceae,Cupressales,0,86.61,13.39,S
Kalmia angustifolia,Kalmia,angustifolia,Ericaceae,Ericales,10.02,89.98,0,S
Kerria japonica,Kerria,japonica,Rosaceae,Rosales,27.87,39.08,33.05,CSR
Lantana camara,Lantana,camara,Verbenaceae,Lamiales,34.54,46.42,19.04,CS/CSR
Lavandula angustifolia,Lavandula,angustifolia,Lamiaceae,Lamiales,5.55,0,94.45,R
Lavandula latifolia,Lavandula,latifolia,Lamiaceae,Lamiales,16.38,0,83.62,R/CR
Lembotropis nigricans,Lembotropis,nigricans,Fabaceae,Fabales,10.87,55.66,33.47,S/CSR
Ligustrum vulgare,Ligustrum,vulgare,Oleaceae,Lamiales,11.76,77.07,11.17,S/CS
Linum lewisii,Linum,lewisii,Linaceae,Malpighiales,0,81.63,18.37,S/SR
Linum perenne,Linum,perenne,Linaceae,Malpighiales,1.17,21.24,77.59,R/SR
Lycium barbarum,Lycium,barbarum,Solanaceae,Solanales,57.45,0,42.55,CR
Lythrum salicaria,Lythrum,salicaria,Lythraceae,Myrtales,15.88,65.97,18.14,S/SR
Matthiola incana,Matthiola,incana,Brassicaceae,Brassicales,33.2,0,66.8,R/CR
Miconia nervosa,Miconia,nervosa,Melastomataceae,Myrtales,52.52,29.94,17.54,C/CSR
Monarda punctata,Monarda,punctata,Lamiaceae,Lamiales,24.92,35.76,39.32,SR/CSR
Ononis spinosa,Ononis,spinosa,Fabaceae,Fabales,10.71,38.26,51.03,SR
Parthenocissus inserta,Parthenocissus,inserta,Vitaceae,Vitales,66.47,15.6,17.93,C/CR
Phillyrea latifolia,Phillyrea,latifolia,Oleaceae,Lamiales,30.68,69.32,0,S/CS
Pinus rigida,Pinus,rigida,Pinaceae,Pinales,7.21,92.79,0,S
Polygonum maritimum,Polygonum,maritimum,Polygonaceae,Caryophyllales,8.76,88.71,2.53,S
Potentilla recta,Potentilla,recta,Rosaceae,Rosales,25.56,51.8,22.64,S/CSR
Prunus cerasus,Prunus,cerasus,Rosaceae,Rosales,31.68,43.19,25.13,CSR
Prunus mahaleb,Prunus,mahaleb,Rosaceae,Rosales,22.19,54.2,23.62,S/CSR
Retama sphaerocarpa,Retama,sphaerocarpa,Fabaceae,Fabales,0.2,0,99.8,R
Rhododendron ponticum,Rhododendron,ponticum,Ericaceae,Ericales,27.01,72.99,0,S/CS
Rhus glabra,Rhus,glabra,Anacardiaceae,Sapindales,44.62,45.27,10.1,CS
Ribes nigrum,Ribes,nigrum,Grossulariaceae,Saxifragales,30.05,55.38,14.56,S/CSR
Ribes rubrum,Ribes,rubrum,Grossulariaceae,Saxifragales,42.24,27.73,30.02,CSR
Ribes uva-crispa,Ribes,uva-crispa,Grossulariaceae,Saxifragales,15.91,68.92,15.17,S/CS
Rosa canina,Rosa,canina,Rosaceae,Rosales,16.59,50.2,33.22,SR/CSR
Rosa gallica,Rosa,gallica,Rosaceae,Rosales,13.45,86.55,0,S
Rosa micrantha,Rosa,micrantha,Rosaceae,Rosales,20.32,70.78,8.9,S/CS
Rosa rubiginosa,Rosa,rubiginosa,Rosaceae,Rosales,22.1,72.02,5.88,S/CS
Rosa rugosa,Rosa,rugosa,Rosaceae,Rosales,48.57,48.3,3.13,CS
Rosa woodsii,Rosa,woodsii,Rosaceae,Rosales,18.42,63.44,18.14,S/CSR
Rosmarinus officinalis,Rosmarinus,officinalis,Lamiaceae,Lamiales,3.55,96.45,0,S
Rubus allegheniensis,Rubus,allegheniensis,Rosaceae,Rosales,27.97,49.23,22.8,S/CSR
Rubus occidentalis,Rubus,occidentalis,Rosaceae,Rosales,30.89,42.29,26.82,CSR
Rubus saxatilis,Rubus,saxatilis,Rosaceae,Rosales,35.84,39.36,24.8,CS/CSR
Ruscus aculeatus,Ruscus,aculeatus,Asparagaceae,Asparagales,11.38,88.62,0,S
Salix caprea,Salix,caprea,Salicaceae,Malpighiales,23.46,64.39,12.16,S/CS
Salix triandra,Salix,triandra,Salicaceae,Malpighiales,19.68,72.57,7.75,S/CS
Salvia officinalis,Salvia,officinalis,Lamiaceae,Lamiales,27.63,38.89,33.48,CSR
Sambucus nigra,Sambucus,nigra,Adoxaceae,Dipsacales,62.93,16.97,20.11,C/CSR
Sambucus racemosa,Sambucus,racemosa,Adoxaceae,Dipsacales,70.63,10.59,18.78,C/CR
Santolina chamaecyparissus,Santolina,chamaecyparissus,Asteraceae,Asterales,0,0,100,R
Sapium glandulosum,Sapium,glandulosum,Euphorbiaceae,Malpighiales,58.47,30.84,10.69,C/CSR
Senecio eremophilus,Senecio,eremophilus,Asteraceae,Asterales,36.99,0,63.01,R/CR
Senecio inaequidens,Senecio,inaequidens,Asteraceae,Asterales,32.49,0,67.51,R/CR
Spiraea salicifolia,Spiraea,salicifolia,Rosaceae,Rosales,17.75,59.73,22.52,S/CSR
Spiraea tomentosa,Spiraea,tomentosa,Rosaceae,Rosales,4.96,84.96,10.08,S
Symphoricarpos albus,Symphoricarpos,albus,Caprifoliaceae,Dipsacales,25.41,49.66,24.94,S/CSR
Syringa vulgaris,Syringa,vulgaris,Oleaceae,Lamiales,36.83,50.83,12.34,CS/CSR
Teucrium chamaedrys,Teucrium,chamaedrys,Lamiaceae,Lamiales,10.61,71.39,17.99,S/SR
Thymus praecox,Thymus,praecox,Lamiaceae,Lamiales,0,69.14,30.86,S/SR
Thymus pulegioides,Thymus,pulegioides,Lamiaceae,Lamiales,0,76.77,23.23,S/SR
Thymus serpyllum,Thymus,serpyllum,Lamiaceae,Lamiales,0,95.71,4.29,S
Thymus vulgaris,Thymus,vulgaris,Lamiaceae,Lamiales,0,87.79,12.21,S
Ulex europaeus,Ulex,europaeus,Fabaceae,Fabales,0.96,98.41,0.63,S
Vaccinium corymbosum,Vaccinium,corymbosum,Ericaceae,Ericales,34.65,63.04,2.31,S/CS
Vaccinium vitis-idaea,Vaccinium,vitis-idaea,Ericaceae,Ericales,3.36,96.64,0,S
Veronica fruticans,Veronica,fruticans,Plantaginaceae,Lamiales,0,58.67,41.33,SR
Viburnum lantana,Viburnum,lantana,Adoxaceae,Dipsacales,48.01,25.78,26.21,C/CSR
Abarema cochliocarpos,Abarema,cochliocarpos,Fabaceae,Fabales,22.83,61.39,15.78,S/CSR
Abarema macradenia,Abarema,macradenia,Fabaceae,Fabales,54.76,45.24,0,CS
Acer monspessulanum,Acer,monspessulanum,Sapindaceae,Sapindales,23.49,68.83,7.69,S/CS
Acer opalus,Acer,opalus,Sapindaceae,Sapindales,47.55,25.57,26.88,C/CSR
Adelia triloba,Adelia,triloba,Euphorbiaceae,Malpighiales,33.59,38.75,27.66,CSR
Aegiphila panamensis,Aegiphila,panamensis,Lamiaceae,Lamiales,48.2,21.43,30.36,C/CSR
Aegiphila pernambucensis,Aegiphila,pernambucensis,Lamiaceae,Lamiales,56.66,41.29,2.05,CS
Aidia densiflora,Aidia,densiflora,Rubiaceae,Gentianales,38.3,60.51,1.19,CS
Alangium ebenaceum,Alangium,ebenaceum,Alangiaceae,Cornales,49.72,50.28,0,CS
Alchornea costaricensis,Alchornea,costaricensis,Euphorbiaceae,Malpighiales,33.56,52.03,14.42,CS/CSR
Alchornea latifolia,Alchornea,latifolia,Euphorbiaceae,Malpighiales,47.81,35.29,16.89,CS/CSR
Alibertia edulis,Alibertia,edulis,Rubiaceae,Gentianales,36.82,48.46,14.72,CS/CSR
Allophylus edulis,Allophylus,edulis,Sapindaceae,Sapindales,37.57,54.58,7.86,CS
Allophylus psilospermus,Allophylus,psilospermus,Sapindaceae,Sapindales,50.2,27.68,22.12,C/CSR
Alnus viridis,Alnus,viridis,Betulaceae,Fagales,32.87,40.36,26.77,CSR
Alphonsea maingayi,Alphonsea,maingayi,Annonaceae,Magnoliales,30.52,60.05,9.43,S/CS
Alseis blackiana,Alseis,blackiana,Rubiaceae,Gentianales,52.07,28.76,19.16,C/CSR
Alseis pickelii,Alseis,pickelii,Rubiaceae,Gentianales,51.22,28.44,20.35,C/CSR
Amaioua corymbosa,Amaioua,corymbosa,Rubiaceae,Gentianales,49.49,40.89,9.62,CS
Anacardium excelsum,Anacardium,excelsum,Anacardiaceae,Sapindales,55.47,34.61,9.92,CS
Anaxagorea dolichocarpa,Anaxagorea,dolichocarpa,Annonaceae,Magnoliales,61.47,28.79,9.74,C/CS
Andira fraxinifolia,Andira,fraxinifolia,Fabaceae,Fabales,29.97,70.03,0,S/CS
Andira legalis,Andira,legalis,Fabaceae,Fabales,49.86,50.14,0,CS
Annona salzmannii,Annona,salzmannii,Annonaceae,Magnoliales,45.22,49.78,5,CS
Annona spraguei,Annona,spraguei,Annonaceae,Magnoliales,58.95,25.5,15.55,C/CSR
Apeiba membranacea,Apeiba,membranacea,Malvaceae,Malvales,47.68,37.06,15.26,CS/CSR
Apeiba tibourbou,Apeiba,tibourbou,Malvaceae,Malvales,64.63,21.19,14.18,C/CS
Aporosa aurea,Aporosa,aurea,Euphorbiaceae,Malpighiales,46.58,49.8,3.62,CS
Aporosa bracteosa,Aporosa,bracteosa,Euphorbiaceae,Malpighiales,34.19,59.93,5.88,S/CS
Aporosa falcifera,Aporosa,falcifera,Euphorbiaceae,Malpighiales,41.12,57.65,1.22,CS
Aporosa globifera,Aporosa,globifera,Euphorbiaceae,Malpighiales,39.61,45.7,14.69,CS/CSR
Aporosa microstachya,Aporosa,microstachya,Euphorbiaceae,Malpighiales,38.62,50.54,10.84,CS/CSR
Aporosa nigricans,Aporosa,nigricans,Euphorbiaceae,Malpighiales,54.39,41.91,3.7,CS
Aporosa prainiana,Aporosa,prainiana,Euphorbiaceae,Malpighiales,51.46,25.59,22.95,C/CSR
Apuleia leiocarpa,Apuleia,leiocarpa,Fabaceae,Fabales,31.61,48.27,20.12,S/CSR
Archidendron bubalinum,Archidendron,bubalinum,Fabaceae,Fabales,38.1,55.94,5.95,CS
Ardisia crassa,Ardisia,crassa,Myrsinaceae,Ericales,38.57,55.44,5.99,CS
Ardisia hulletii,Ardisia,hulletii,Myrsinaceae,Ericales,49.85,45.19,4.96,CS
Aspidosperma discolor,Aspidosperma,discolor,Apocynaceae,Gentianales,48.19,39.36,12.45,CS/CSR
Aspidosperma spruceanum,Aspidosperma,spruceanum,Apocynaceae,Gentianales,57.43,42.57,0,CS
Astronium graveolens,Astronium,graveolens,Anacardiaceae,Sapindales,53.64,34.18,12.18,CS/CSR
Baccaurea parviflora,Baccaurea,parviflora,Euphorbiaceae,Malpighiales,41.99,49.43,8.58,CS
Baccaurea racemosa,Baccaurea,racemosa,Euphorbiaceae,Malpighiales,46.58,47.87,5.54,CS
Bactris acanthocarpa,Bactris,acanthocarpa,Arecaceae,Arecales,52.43,37.2,10.37,CS
Bactris setosa,Bactris,setosa,Arecaceae,Arecales,54.32,34.96,10.71,CS
Barringtonia macrostachya,Barringtonia,macrostachya,Lecythidaceae,Ericales,61.92,36.9,1.18,C/CS
Beilschmiedia pendula,Beilschmiedia,pendula,Lauraceae,Laurales,49.8,50.2,0,CS
Betula alleghaniensis,Betula,alleghaniensis,Betulaceae,Fagales,17.86,58.5,23.64,S/CSR
Betula litwinowii,Betula,litwinowii,Betulaceae,Fagales,31.09,48.61,20.3,S/CSR
Alibertia dwyeri,Alibertia,dwyeri,Rubiaceae,Gentianales,54.44,38.28,7.27,CS
Bowdichia virgilioides,Bowdichia,virgilioides,Fabaceae,Fabales,21.71,73.78,4.51,S/CS
Brosimum guianense,Brosimum,guianense,Moraceae,Rosales,36.65,49.01,14.33,CS/CSR
Brosimum utile,Brosimum,utile,Moraceae,Rosales,49.33,50.51,0.16,CS
Buchenavia tetraphylla,Buchenavia,tetraphylla,Combretaceae,Myrtales,22.12,66.06,11.82,S/CS
Byrsonima sericea,Byrsonima,sericea,Malpighiaceae,Malpighiales,35.65,62.79,1.56,S/CS
Byrsonima verbascifolia,Byrsonima,verbascifolia,Malpighiaceae,Malpighiales,43.61,56.39,0,CS
Calophyllum brasiliense,Calophyllum,brasiliense,Calophyllaceae,Malpighiales,55.27,32.3,12.43,C/CSR
Calophyllum longifolium,Calophyllum,longifolium,Calophyllaceae,Malpighiales,57.45,42.55,0,CS
Canarium littorale,Canarium,littorale,Burseraceae,Sapindales,44.12,55.88,0,CS
Capparis frondosa,Capparis,frondosa,Capparaceae,Brassicales,46.26,47.72,6.01,CS
Caraipa densifolia,Caraipa,densifolia,Calophyllaceae,Malpighiales,37.65,50.56,11.79,CS/CSR
Carapa guianensis,Carapa,guianensis,Calophyllaceae,Malpighiales,67.85,32.15,0,C/CS
Casearia aculeata,Casearia,aculeata,Salicaceae,Malpighiales,30.45,48.03,21.51,S/CSR
Casearia arborea,Casearia,arborea,Salicaceae,Malpighiales,39.74,36.34,23.91,CS/CSR
Casearia commersoniana,Casearia,commersoniana,Salicaceae,Malpighiales,44.2,44.52,11.28,CS/CSR
Casearia guianensis,Casearia,guianensis,Salicaceae,Malpighiales,43.89,29.31,26.8,C/CSR
Casearia javitensis,Casearia,javitensis,Salicaceae,Malpighiales,43.6,48.04,8.36,CS
Casearia sylvestris,Casearia,sylvestris,Salicaceae,Malpighiales,30.59,50.85,18.57,S/CSR
Cassipourea guianensis,Cassipourea,guianensis,Rhizophoraceae,Malpighiales,38.08,54,7.92,CS
Cecropia insignis,Cecropia,insignis,Urticaceae,Rosales,83.34,16.66,0,C/CS
Cecropia longipes,Cecropia,longipes,Urticaceae,Rosales,88.68,3.97,7.35,C
Celtis iguanaea,Celtis,iguanaea,Cannabaceae,Rosales,40.02,19.93,40.05,CR/CSR
Celtis schippii,Celtis,schippii,Cannabaceae,Rosales,42.37,41.95,15.69,CS/CSR
Cespedesia spathulata,Cespedesia,spathulata,Ochnaceae,Malpighiales,79.51,19.16,1.33,C/CS
Cestrum schlechtendahlii,Cestrum,schlechtendahlii,Solanaceae,Solanales,58.08,26.12,15.8,C/CSR
Chaetocarpus myrsinites,Chaetocarpus,myrsinites,Euphorbiaceae,Malpighiales,41.87,53.86,4.27,CS
Chamaecrista ensiformis,Chamaecrista,ensiformis,Fabaceae,Fabales,32.2,51.02,16.78,S/CSR
Chamguava schippii,Chamguava,schippii,Myrtaceae,Myrtales,38.77,50.42,10.8,CS
Champereia manillana,Champereia,manillana,Opiliaceae,Santalales,32.75,57.91,9.34,S/CSR
Chimarrhis parviflora,Chimarrhis,parviflora,Rubiaceae,Gentianales,64.34,21.85,13.81,C/CS
Chrysophyllum argenteum,Chrysophyllum,argenteum,Sapotaceae,Ericales,47.95,40.98,11.07,CS/CSR
Chrysophyllum rufum,Chrysophyllum,rufum,Sapotaceae,Ericales,35.11,60.26,4.63,S/CS
Cinnamomum triplinerve,Cinnamomum,triplinerve,Lauraceae,Laurales,49.6,45.4,5,CS
Cistus albidus,Cistus,albidus,Cistaceae,Malvales,37.15,0,62.85,R/CR
Cistus salviifolius,Cistus,salviifolius,Cistaceae,Malvales,36.96,63.04,0,S/CS
Cleistanthus maingayi,Cleistanthus,maingayi,Euphorbiaceae,Malpighiales,44.39,39.19,16.41,CS/CSR
Clusia nemorosa,Clusia,nemorosa,Clusiaceae,Malpighiales,69.62,30.38,0,C/CS
Coccoloba alnifolia,Coccoloba,alnifolia,Polygonaceae,Caryophyllales,68.24,31.26,0.5,C/CS
Coccoloba coronata,Coccoloba,coronata,Polygonaceae,Caryophyllales,55.51,22.52,21.97,C/CSR
Coccoloba laevis,Coccoloba,laevis,Polygonaceae,Caryophyllales,59.94,39.59,0.47,CS
Coccoloba manzinellensis,Coccoloba,manzinellensis,Polygonaceae,Caryophyllales,67.28,29.79,2.93,C/CS
Coccoloba mollis,Coccoloba,mollis,Polygonaceae,Caryophyllales,62.83,27.35,9.82,C/CS
Cojoba catenata,Cojoba,catenata,Fabaceae,Fabales,58.47,33.58,7.95,CS
Colubrina glandulosa,Colubrina,glandulosa,Rhamnaceae,Rosales,56.75,28,15.25,C/CSR
Copaifera duckei,Copaifera,duckei,Fabaceae,Fabales,26.3,58.79,14.91,S/CSR
Cordia bicolor,Cordia,bicolor,Boraginaceae,Boraginales,39.04,50.34,10.61,CS
Cordia lasiocalyx,Cordia,lasiocalyx,Boraginaceae,Boraginales,37.38,47.29,15.33,CS/CSR
Cordia superba,Cordia,superba,Boraginaceae,Boraginales,57.42,31.43,11.15,C/CSR
Cornus drummondii,Cornus,drummondii,Cornaceae,Cornales,21.09,74.83,4.08,S/CS
Cornus rugosa,Cornus,rugosa,Cornaceae,Cornales,35.75,48.58,15.67,CS/CSR
Cornus sericea,Cornus,sericea,Cornaceae,Cornales,21.89,63.76,14.36,S/CS
Coussarea curvigemma,Coussarea,curvigemma,Rubiaceae,Gentianales,47.5,25.75,26.75,C/CSR
